id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
1919|26/03/2014|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Docencia|Obrero o empleado|Total|S|N|S|
5772|01/04/2014|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
5796|01/04/2014|No esta pensando en trabajar||||||||||||||
1895|14/07/2014|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|Ayudante Alumno y encargado de Lab. de Física|Pasante|Total|S|N|S|
5573|04/08/2014|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
4728|02/02/2015|No esta pensando en trabajar|||||||||||N|N|N|
5206|02/02/2015|No esta pensando en trabajar|||||||||||N|N|N|
3685|05/02/2015|No esta pensando en trabajar|||||||||||N|N|N|
4807|07/02/2015|No esta pensando en trabajar|||||||||||N|N|N|
5649|09/02/2015|No esta pensando en trabajar|||||||||||N|N|N|
4861|11/02/2015|Trabajó al menos una hora||||||Permanente|35 o más horas|Tecnico|Obrero o empleado|Total|S|N|S|
5285|22/02/2015|Trabajó al menos una hora||||||Temporaria|35 o más horas|servicio tecnico de computadoras personales y medios de comunicacion asociados|Cuenta propia|Parcial|N|S|S|
4637|24/02/2015|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|docente|Cuenta propia|Total|N|N|S|
4276|28/02/2015|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
6038|08/04/2015|No esta pensando en trabajar|||||||||||N|N|N|
912|07/07/2015|||||||||||||||
760|07/07/2015|||||||||||||||
224|07/07/2015|||||||||||||||
420|07/07/2015|||||||||||||||
5078|02/02/2016|No esta pensando en trabajar|||||||||||N|N|N|
5634|12/02/2016|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|REPARTIDOR|Cuenta propia|Total|N|S|S|
3507|13/02/2016|Trabajó al menos una hora||||||Permanente|35 o más horas|Semi Senior Software Developer|Obrero o empleado|Total|S|N|S|
2418|15/02/2016|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Investigador, Docente|Obrero o empleado|Total|S|N|S|
3965|15/02/2016|Trabajó al menos una hora||||||Permanente|35 o más horas|Consultor ABAP|Obrero o empleado|Total|S|N|S|
4299|15/02/2016|Trabajó al menos una hora||||||Temporaria|Mas de 20 y menos de 35 horas|Desarrollo de software|Pasante|Total|N|N|N|
3626|18/02/2016|Trabajó al menos una hora||||||Permanente|35 o más horas|Consultor|Obrero o empleado|Total|S|N|S|
2689|22/02/2016|Trabajó al menos una hora||||||Permanente|35 o más horas|Semi Senior Web Developer|Obrero o empleado|Total|N|S|S|
3211|24/03/2016|Trabajó al menos una hora||||||Permanente|35 o más horas|Programador|Obrero o empleado|Total|S|N|S|
5387|24/03/2016|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Administrador de Red|Cuenta propia|Parcial|N|N|S|
6195|01/04/2016|No esta pensando en trabajar||||||||||||||
5644|26/11/2016|No esta pensando en trabajar|||||||||||N|N|N|
5857|01/02/2017|No esta pensando en trabajar|||||||||||N|N|N|
5256|03/02/2017|No esta pensando en trabajar|||||||||||N|N|N|
4663|21/02/2017|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|Ayudante Diplomado|Obrero o empleado|Total|S|N|S|
5563|21/02/2017|No esta pensando en trabajar|||||||||||N|N|N|
6319|29/03/2017|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
6322|29/03/2017|No esta pensando en trabajar||||||||||||||
6541|29/03/2017|Trabajó al menos una hora||||||Permanente|35 o más horas|empleada|Obrero o empleado|Sin relación|S|N|S|
1646|20/04/2017|No esta pensando en trabajar||||||||||||||
624|20/04/2017||||||||Mas de 20 y menos de 35 horas|||Parcial||||
3207|20/04/2017|No esta pensando en trabajar|||||||||||N|N|N|
778|20/04/2017|||||||||||||||
4337|27/04/2017|No esta pensando en trabajar|||||||||||N|N|N|
4422|05/05/2017|Trabajó al menos una hora||||||Permanente|35 o más horas|developers|Obrero o empleado|Total|N|N|S|
6017|01/02/2018|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
5154|01/02/2018|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
6497|02/02/2018|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
6372|21/02/2018|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
6314|02/03/2018|No esta pensando en trabajar||||||||||||||
