id|carrera|plan|fecha_ingreso|calidad|localidad_nacimiento|colegio_secundario|titulo_secundario
1328|206|S95|01/04/1996|E|BALCARCE|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
1524|206|S95|01/04/1997|E||||
1594|206|S95|01/04/1997|P|AZUL|||
1580|206|S95|01/04/1997|P|TANDIL|||
1516|206|S95|01/04/1997|P|TRES ARROYOS|||
1350|206|S95|01/04/1997|P|OLAVARRIA|||
1629|206|S95|01/04/1997|N|MAR DEL PLATA||BACHILLER COMERCIAL|
1561|206|S95|01/04/1997|P|BENITO JUAREZ|||
1599|206|S95|01/04/1997|P|TANDIL|||
1603|206|S95|01/04/1997|P|TANDIL|||
1428|206|S95|01/04/1997|P|TRES ARROYOS||BACHILLER EN GESTION Y ADMINISTRACION|
1456|206|S95|01/04/1997|P|Ciudad Autónoma de Buenos Aires|||
1525|206|S95|01/04/1997|P|OLAVARRIA|||
1521|206|S95|01/04/1997|P|MAR DEL PLATA|||
1435|206|S95|01/04/1997|P|VILLA BROWN|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|PERITO MERCANTIL|
1445|206|S95|01/04/1997|P|BALCARCE|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
1464|206|S95|01/04/1997|E|| MONS. DR. AUDINO RODRIGUEZ Y OLMOS|BACHILLER EN CIENCIAS EXACTAS Y NATURALES|
1619|206|S95|01/04/1997|P|GENERAL MADARIAGA|ESCUELA Nº 4-055 PRESBITERO CONSTANTINO SPAGNOLO||
1438|206|S95|01/04/1997|P|MAR DEL PLATA|||
1553|206|S95|01/04/1997|P|MAR DEL PLATA|||
1479|206|S95|01/04/1997|P|OLAVARRIA|||
1520|206|S95|01/04/1997|P|TANDIL|||
1682|206|S95|01/04/1998|P|MAR DEL PLATA|ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO EN COMPUTACION|
1646|206|S95|01/04/1998|E||||
1646|209|1998|01/04/1998|N||||
1688|206|S95|01/04/1998|P|TANDIL|||
1762|206|S95|01/04/1998|P|MAR DEL PLATA|||
