id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
1097|01/04/2002|||||N|||||||||||||||||
1105|12/03/2004|S||S||N|||||||||||||||||
1110|17/12/2002|||||N|||||||||||||||||
1117|01/04/2002|||||N|||||||||||||||||
1117|29/11/2002|||||N|||||||||||||||||
1120|08/02/2004|S||N||N|N|N|N||||||||||||||
1120|01/04/2002|||||N|||||||||||||||||
1127|20/12/2002|||||N|||||||||||||||||
1133|01/04/2002|||||N|||||||||||||||||
1136|16/03/2005|S||N||N|N|N|N||||||||||||||
1148|09/02/2004|N||S||N|||||||||||||||||
1151|01/04/2002|||||N|||||||||||||||||
1157|22/03/2005|S||N||N|N|N|N||||||||||||||
1162|20/12/2002|||||N|||||||||||||||||
1162|30/04/2004|S||S||N|N|N|N||||||||||||||
1166|31/03/2005|S||N||N|N|N|N||||||||||||||
1171|16/12/2002|||||N|||||||||||||||||
1173|11/12/2002|||||N|||||||||||||||||
1178|01/04/2002|||||N|||||||||||||||||
1186|01/04/2002|||||N|||||||||||||||||
1187|01/04/2002|||||N|||||||||||||||||
1188|01/04/2002|||||N|||||||||||||||||
1190|02/02/2004|S||N||N|||||||||||||||||
1190|12/02/2006|N||S||N|N|N|N||||||||||||||
1197|01/04/2002|||||N|||||||||||||||||
1200|01/04/2002|||||N|||||||||||||||||
1205|13/03/2006|N||S||N|N|N|N||||||||||||||
1215|14/02/2008|S||N||N|N|N|N||||||||||||||
1216|09/02/2004|N||S||N|||||||||||||||||
1217|01/04/2002|||||N|||||||||||||||||
1222|01/04/2002|||||N|||||||||||||||||
1224|02/02/2004|S||S||N|||||||||||||||||
1224|06/03/2006|S||S||N|N|N|N||||||||||||||
1227|01/04/2002|||||N|||||||||||||||||
1230|01/04/2002|||||N|||||||||||||||||
1230|26/02/2004|S||S||N|||||||||||||||||
1242|01/04/2002|||||N|||||||||||||||||
1268|01/04/2002|||||N|||||||||||||||||
1272|29/03/2007|||||N|||||||||||||||||
1277|14/02/2004|S||N||N|||||||||||||||||
1286|06/12/2002|||||N|||||||||||||||||
1290|15/02/2005|S||S||N|N|N|N||||||||||||||
1292|27/11/2002|||||N|||||||||||||||||
1303|01/04/2002|||||N|||||||||||||||||
1306|01/04/2002|||||N|||||||||||||||||
