id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
2932|18/04/2002|||||N|||||||||||||||||
2955|18/04/2002|||||N|||||||||||||||||
2963|24/08/2007|S||N||N|N|N|N||||||||||||||
2967|24/04/2002|||||N|||||||||||||||||
2977|30/04/2002|||||N|||||||||||||||||
3002|20/03/2018|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3008|12/03/2004|N||S||N|N|N|N||||||||||||||
3016|14/06/2007|S||N||N|||||||||||||||||
3034|21/02/2005|S||N||N|||||||||||||||||
3052|21/02/2005|S||N||N|||||||||||||||||
3087|09/04/2003|||||N|||||||||||||||||
3102|10/04/2003|||||N|||||||||||||||||
3108|30/11/2012|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3142|01/03/2004|S||N||N|||||||||||||||||
3160|06/02/2009|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3164|16/04/2003|||||N|||||||||||||||||
3177|29/06/2015|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3178|21/02/2015|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3186|16/04/2003|||||N|||||||||||||||||
3188|17/02/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3199|21/04/2003|||||N|||||||||||||||||
3207|05/11/2019|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3211|24/03/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3217|18/04/2013|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3218|12/03/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3222|09/04/2018|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3278|30/04/2003|||||N|||||||||||||||||
3279|04/08/2004|||||N|||||||||||||||||
3324|15/04/2004|||||N|||||||||||||||||
3335|16/04/2004|||||N|||||||||||||||||
3338|04/03/2006|S||N||N|N|N|N||||||||||||||
3339|15/03/2005|||||N|||||||||||||||||
3341|09/03/2009|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3360|05/03/2021|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3362|01/07/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3389|05/02/2018|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3399|14/04/2004|||||N|||||||||||||||||
3404|13/05/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3405|14/04/2004|||||N|||||||||||||||||
3411|16/04/2004|||||N|||||||||||||||||
3416|16/04/2004|||||N|||||||||||||||||
3448|20/02/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3464|16/04/2004|||||N|||||||||||||||||
3489|27/02/2006|S||S||N|N|N|N||||||||||||||
3507|18/04/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3518|23/04/2004|N||S||N|N|N|N||||||||||||||
3520|23/04/2004|||||N|||||||||||||||||
3524|23/04/2004|||||N|||||||||||||||||
3539|06/04/2020|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3546|26/04/2004|||||N|||||||||||||||||
3551|02/03/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3556|11/03/2010|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3557|26/04/2004|||||N|||||||||||||||||
3600|21/06/2022|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3608|07/02/2008|S||N||N|N|N|N||||||||||||||
3626|18/02/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3630|17/03/2005|||||N|||||||||||||||||
3660|22/03/2005|S||N||N|N|N|N||||||||||||||
3664|10/08/2006|S||N||S|N|N|S||||||||||||||
