id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
1727|21/06/2022|Trabajó al menos una hora|||||||Hasta 10 horas|||Total||||
1737|01/04/2002|||||||||||||||
1753|06/12/2002||||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1759|01/04/2002|||||||||||||||
1762|01/04/2002|||||||||||||||
1786|09/02/2010|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Trabajo en un negocio de venta de accesorios para riego y piletas, en la parte informatica y en la instalacion, hago mantenimiento de pc y diseño web por cuenta propia|Obrero o empleado|Parcial|N|S|S|
1794|23/02/2022|No trabajó y no buscó trabajo en los últimos 30 días|0||||||||Obrero o empleado|||||
1811|01/04/2002|||||||||||||||
1833|07/03/2004|No esta pensando en trabajar|||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1863|20/04/2017|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1882|01/04/2002|||||||||||||||
1895|21/06/2022|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|Ayudante Alumno y encargado de Lab. de Física|Pasante|Total|S|N|S|
1916|08/03/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación|||1|
1919|26/06/2019|Trabajó al menos una hora|||SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.|Poca|Poca|Permanente|Mas de 20 y menos de 35 horas|Informatica|Obrero o empleado|Total|S|N|S|
1921|07/03/2022|Trabajó al menos una hora|6|BANCO CREDICOOP|INTERMEDIACIÓN FINANCIERA Y OTROS SERVICIOS FINANCIEROS|Poca|Poca|Permanente|35 o m¿s horas|OFICIAL DE CUENTAS|Obrero o empleado|Sin relación|S|N|S|
1923|01/04/2002|||||||||||||||
1947|06/03/2012|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de software|Obrero o empleado|Total|S|N|S|
1972|24/02/2015|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|INSPECTOR SINIESTROS AUTOS|Obrero o empleado|Sin relación|N|N|N|
1992|01/04/2002|||||||||||||||
1993|12/03/2004|No esta pensando en trabajar|||||||Hasta 10 horas|||Sin relación||||
1998|23/02/2007|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Parcial|||1|
2002|01/04/2002|||||||||||||||
2009|18/06/2009|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de Software|Obrero o empleado|Total|N|N|N|
2012|07/03/2006|Trabajó al menos una hora|||||||Hasta 10 horas|||Sin relación|||1|
2021|04/08/2005|No esta pensando en trabajar||||||||||||||
2031|01/04/2002|||||||||||||||
2036|27/05/2013|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de software|Obrero o empleado|Total|S|N|S|
2046|27/11/2002|||||||||||||||
2047|20/04/2017|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|desarrollador de soft|Pasante|Total|N|N|N|
2056|05/07/2004|||||||||||||||
2064|13/03/2009|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
2078|18/12/2002|||||||||||||||
2097|20/04/2017|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
2099|16/02/2010|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Consultor de Procesos|Obrero o empleado|Total|S|N|S|
2106|01/04/2002|||||||||||||||
2112|01/04/2002|||||||||||||||
2115|02/10/2008|Trabajó al menos una hora||||||Temporaria|Mas de 20 y menos de 35 horas|ventas|Cuenta propia|Sin relación|N|N|N|
2118|01/04/2002|||||||||||||||
2148|09/12/2002|||||||||||||||
2149|01/04/2002|||||||||||||||
2157|20/04/2017|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Parcial|||1|
2160|20/04/2017|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
2166|27/02/2009|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Recontadora|Obrero o empleado|Sin relación|S|N|N|
2171|16/02/2010|Trabajó al menos una hora||||||Permanente|Hasta 10 horas|Programador|Obrero o empleado|Parcial|S|N|S|
2177|01/04/2002|||||||||||||||
2185|09/03/2010|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Desarrollador|Obrero o empleado|Total|N|N|S|
2188|09/08/2019|Trabajó al menos una hora|6|Pladema|SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES|Poca|Poca|Temporaria|35 o m¿s horas|Desarrollador|Cuenta propia|Total|S|N|S|
2240|01/04/2002|||||||||||||||
2247|10/02/2022|Trabajó al menos una hora|6|D.G.C. Y E.|ENSEÑANZA|Nada|Poca|Permanente|Mas de 20 y menos de 35 horas|PROFESORA EN MATEMÁTICA NIVEL SECUNDARIO|Obrero o empleado|Total|S|N|S|
2250|10/02/2004|No esta pensando en trabajar||||||||||Sin relación||||
2251|01/04/2002|||||||||||||||
2252|01/04/2002|||||||||||||||
2254|07/03/2011|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
2258|09/12/2002|||||||||||||||
2259|01/04/2002|||||||||||||||
2267|11/04/2010|Trabajó al menos una hora||||||Temporaria|35 o m¿s horas|Conserje|Obrero o empleado|Sin relación|S|N|S|
2279|01/04/2017|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Mantenimiento de pc y venta de insumos|Obrero o empleado|Parcial|N|N|N|
2285|26/04/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total||||
3534|26/04/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total||||
2305|04/11/2008|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Analista Programador|Obrero o empleado|Total|S|N|S|
2313|01/04/2002|||||||||||||||
2317|01/04/2002|||||||||||||||
2318|11/02/2003|||||||||||||||
