id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
2411|03/03/2009|S|N|S|S|N|N|N|S|N|S|N|N|S|
2418|21/06/2022|S|N|N|N|S|N|N|N|N|N|N|N|S|
2419|28/11/2012|S|N|S|N|S|S|N|S|N|S|N|N|S|
2443|11/02/2019|S|N|N|S|N|N|N|N|N|N|N|N|S|
2445|01/04/2002||||||||||||||
2446|09/03/2018|S|S|N|N|N|N|S|N|N|N|N|N|S|
2475|01/02/2021|N|N|N|N|N|N|N|N|N|N|N|N|N|
2477|01/04/2002||||||||||||||
2483|01/04/2002||||||||||||||
2485|01/04/2002||||||||||||||
2490|06/03/2012|S|N|S|N|N|N|S|S|N|N|N|N|N|
2497|01/04/2002||||||||||||||
2549|03/06/2004|S||||S|||S||||||
2554|01/04/2002||||||||||||||
2561|01/04/2002||||||||||||||
2565|27/08/2012|S|N|N|N|N|N|N|S|N|N|N|N|N|
2569|11/04/2003||||||||||||||
2580|27/04/2006|N|||||||||||||
2586|03/02/2007|N|||||||||||||
2590|01/04/2002||||||||||||||
2595|01/04/2002||||||||||||||
2613|19/02/2004|N|||||||||||||
2618|22/03/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
2631|10/05/2012|S|N|N|S|N|S|N|N|N|N|N|N|N|
2641|17/08/2005|S||S||||||||||S|
2645|29/03/2004|N|||||||||||||
2649|01/04/2002||||||||||||||
2656|21/06/2022|S|S|N|N|N|N|N|N|N|N|N|N|N|
2689|05/03/2018|S|N|N|S|N|N|S|S|N|N|N|N|N|
2704|12/04/2002||||||||||||||
2714|02/03/2017|S|N|N|S|N|N|N|N|N|N|N|N|S|
2721|20/03/2017|S|N|N|S|N|S|S|N|N|N|N|N|S|
2724|20/04/2017|S|S|||||||||||S|
2733|17/02/2010|S|N|N|N|N|N|N|N|N|N|N|N|N|
2748|16/10/2014|S|S|N|S|N|N|N|S|N|N|N|N|S|
2754|18/12/2002||||||||||||||
2793|12/02/2009|S|S|N|N|N|N|N|N|N|N|N|N|S|
2798|12/04/2022|S|N|N|N|S|N|N|N|N|N|N|N|S|
2801|28/04/2011|S|N|N|N|S|N|N|S|S|N|N|N|S|
2805|27/02/2006|S||S|S|||||||||S|
2823|18/08/2005|S||S|||S||||||||
2845|09/06/2014||||||||||||||
2852|23/02/2022|S|N|N|N|S|N|N|S|N|N|N|N|N|
2858|10/01/2016|S|N|N|S|N|N|N|S|N|N|N|N|N|
2863|03/02/2004|S|||S|||||||||S|
2874|08/02/2004|N|||||||||||||
2879|30/09/2016|S|N|N|S|S|N|N|S|N|N|N|N|S|
2928|04/03/2008|N|||||||||||||
2932|18/04/2002||||||||||||||
2955|18/04/2002||||||||||||||
2963|24/08/2007|S||||S||||||||S|
2967|24/04/2002||||||||||||||
2977|30/04/2002||||||||||||||
3002|20/03/2018|S|N|N|S|N|N|S|N|N|N|N|N|N|
3008|12/03/2004|N|||||||||||||
3016|14/06/2007|N|||||||||||||
3034|21/02/2005|N|||||||||||||
3052|21/02/2005|S|S|||||||||||S|
3087|09/04/2003||||||||||||||
3102|10/04/2003||||||||||||||
3108|30/11/2012|S|N|N|S|N|N|N|N|N|S|N|N|N|
3142|01/03/2004|S|S|||||||||||S|
3160|06/02/2009|N|N|N|N|N|N|N|N|N|N|N|N|N|
3164|16/04/2003||||||||||||||
3177|29/06/2015|N|N|N|N|N|N|N|N|N|N|N|N|N|
3178|21/02/2015|S|S|N|N|N|N|N|S|N|N|N|N|S|
3186|16/04/2003||||||||||||||
3188|17/02/2010|S|N|N|N|S|N|N|S|N|N|S|N|N|
3199|21/04/2003||||||||||||||
3207|05/11/2019|S|N|N|S|N|N|N|S|N|N|N|N|N|
3211|24/03/2016|S|N|N|S|N|N|N|N|N|N|N|N|S|
